gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-1.123910721206933304e-04,1.666042427109143409e-01,-2.905927501860386882e-05
-1.119436223269176957e-04,1.666615559193956875e-01,-2.906605512775629519e-05
-1.196960404809412044e-04,1.667188547653543074e-01,-2.958731809067807509e-05
-1.005300728865143303e-04,1.667761525599700811e-01,-2.842626059481754354e-05
-9.456991536585102455e-05,1.668334651517467682e-01,-2.805540446761830455e-05
-1.066235724750820270e-04,1.668907554061165865e-01,-2.882025886366987471e-05
-7.690890595983142209e-05,1.669480120605005558e-01,-2.700481266914086866e-05
-7.741706246116717338e-05,1.670053272650230680e-01,-2.706338567000374373e-05
-8.284584488781362554e-05,1.670626364626583982e-01,-2.744141178001659287e-05
-8.274023475204584320e-05,1.671199483864088953e-01,-2.746782568002005925e-05
-9.653734127150083292e-05,1.671772365666742977e-01,-2.837445073169778752e-05
-1.001564968116697195e-04,1.672345434340758996e-01,-2.866158286771733690e-05
-8.408705536417695732e-05,1.672918409484347724e-01,-2.771464081218761100e-05
-1.133220795146887213e-04,1.673490636650205587e-01,-2.957450011658894489e-05
-1.349888604650827334e-04,1.674063175467840892e-01,-3.098143374200250654e-05
-1.364704832651250741e-04,1.674636321232682856e-01,-3.112679286868039175e-05
-1.390078797125534466e-04,1.675209428325059591e-01,-3.132301703735903658e-05
-1.390501744932631464e-04,1.675782555696528342e-01,-3.135864587584460153e-05
-1.338444523585960986e-04,1.676355713915448631e-01,-3.105526350816899321e-05
-1.275202961609563264e-04,1.676928857143374085e-01,-3.067662135741658499e-05
-1.143370477807052955e-04,1.677501944973190107e-01,-2.986839865334326970e-05
-9.607617672238349179e-05,1.678074910713342749e-01,-2.873373860075310982e-05
-6.880707523891765594e-05,1.678647527805708917e-01,-2.704506274315345241e-05
-2.843386902397259517e-05,1.679219302220709142e-01,-2.456022951961883460e-05
-1.493117863429617743e-05,1.679792320086275492e-01,-2.378261743575744966e-05
-1.321379487227282047e-05,1.680365541576438193e-01,-2.373855998625943554e-05
-3.620560500041715841e-05,1.680938477955910004e-01,-2.519264419363251477e-05
-3.525020823791188875e-05,1.681511699145456507e-01,-2.516725850322537803e-05
-4.149083031826651229e-05,1.682084891625386380e-01,-2.562595607856739949e-05
-6.116883247780369995e-05,1.682657795661140765e-01,-2.693493283896808849e-05
-7.275423866165074661e-05,1.683230862990502397e-01,-2.776264998614206417e-05
-5.558411347380905914e-05,1.683803815339598164e-01,-2.680691323371622224e-05
-5.540067571429216906e-05,1.684376990435910715e-01,-2.686358357049216858e-05
-6.941714326486750158e-05,1.684949984497251252e-01,-2.777156761538019004e-05
-8.060559092045824106e-05,1.685523007113401417e-01,-2.847091971056718189e-05
-7.747108940574656355e-05,1.686096149474016481e-01,-2.826822510032897217e-05
-5.967787661099726996e-05,1.686669047164886803e-01,-2.712498182791014511e-05
-6.774572551711228541e-05,1.687242122348244500e-01,-2.760324456784936381e-05
-8.485528760970681590e-05,1.687814963464552287e-01,-2.867364576386650146e-05
-1.013187759607272808e-04,1.688387782317005148e-01,-2.971175489985698119e-05
-8.974255521989926753e-05,1.688960876524416288e-01,-2.898206017478080560e-05
-1.047606834999012694e-04,1.689533726331521601e-01,-2.995062749857260319e-05
-9.540875116077643468e-05,1.690106845390523249e-01,-2.938038919126932368e-05
-8.781244001079249652e-05,1.690679954919236117e-01,-2.891310954240012681e-05
-1.054790717098501052e-04,1.691252701993675445e-01,-3.004483327864477727e-05
-7.010241331638028084e-05,1.691824993841486435e-01,-2.784972789932427134e-05
-6.745113436748719068e-05,1.692398187132727327e-01,-2.770980523767440642e-05
-6.449890096516883576e-05,1.692971354853859967e-01,-2.756434253648154227e-05
-7.383319025413046617e-05,1.693544423783293895e-01,-2.819782237122420325e-05
-8.447134747669121733e-05,1.694117439178511597e-01,-2.895499806503380153e-05
-8.208962797946989069e-05,1.694690573262232491e-01,-2.889930144834964226e-05
-9.905344192345051299e-05,1.695263371261981344e-01,-3.007082392634572742e-05
-9.641934630523553190e-05,1.695836502205023688e-01,-2.998611950309078674e-05
-7.426747424551682528e-05,1.696409313211438286e-01,-2.865688030733060950e-05
-6.602401316032713383e-05,1.696982400428559135e-01,-2.823929779415844453e-05
-6.770661177674698334e-05,1.697555512215551121e-01,-2.847610116696976313e-05
-8.591928565881532963e-05,1.698128300321178619e-01,-2.977183413646387365e-05
-5.896397868590830688e-05,1.698700893305009063e-01,-2.818774741603562745e-05
-5.322131492164094735e-05,1.699274015669054172e-01,-2.794295814645044658e-05
-6.756527297160736195e-05,1.699846990639993505e-01,-2.898211814058434266e-05
-7.054062160257492655e-05,1.700420113745163830e-01,-2.929383996388530023e-05
-7.499928016211315871e-05,1.700993206275273895e-01,-2.966827051178346953e-05
-9.593661994235568133e-05,1.701565874164630288e-01,-3.110146947760100673e-05
-9.411972473092555206e-05,1.702139004954583978e-01,-3.109300397403095195e-05
-9.980904702364073826e-05,1.702712050062964999e-01,-3.160802869562645459e-05
-1.111955877007359043e-04,1.703284953694839121e-01,-3.247136239016192711e-05
-1.340284785938218929e-04,1.703857388778017012e-01,-3.406550268885828557e-05
-1.408172559108405097e-04,1.704430380206884976e-01,-3.466267113656506550e-05
-1.206127194711213550e-04,1.705003407752604117e-01,-3.353899289415393563e-05
-1.078904717072413135e-04,1.705576519892952891e-01,-3.286076389461666393e-05
-1.183795624444635206e-04,1.706149457183857299e-01,-3.368793873398365132e-05
-1.108030692255438114e-04,1.706722593158574719e-01,-3.336967047304972503e-05
-8.586610134855179161e-05,1.707295363419056022e-01,-3.192092642232622875e-05
-5.909261205906632148e-05,1.707867984695189689e-01,-3.034254696182150593e-05
